email_text,label
Re: Partnership Opportunity with TechCorp,Interested
Quick question about your software solutions,Meeting Booked
Following up on our conversation,Not Interested
URGENT: Claim your FREE iPhone now!,Spam
Out of Office: Will return Monday,Out of Office
Re: Your marketing automation needs,Interested
Thanks for the demo - let's schedule next steps,Meeting Booked
Not the right fit for us currently,Not Interested
"$$$ MAKE MONEY FAST $$$",Spam
Auto-reply: Currently on vacation,Out of Office
Exploring cloud migration options,Interested
Available Tuesday 2pm for the call,Meeting Booked
We've decided to go with another vendor,Not Interested
You've won a million dollars! Click here!,Spam
Automatic reply: Out until January 15th,Out of Office
Re: CRM integration discussion,Interested
Confirmed: Meeting tomorrow at 10am,Meeting Booked
Thanks but we're not looking right now,Not Interested
Hot singles in your area!,Spam
I'm currently out of the office,Out of Office
Tell me more about your pricing,Interested
Calendar invite sent for Thursday,Meeting Booked
This doesn't align with our priorities,Not Interested
CONGRATULATIONS! You're our lucky winner!,Spam
Away message: Attending conference this week,Out of Office
Interested in learning about your platform,Interested
Meeting confirmed for next Tuesday,Meeting Booked
We're happy with our current solution,Not Interested
Limited time offer - Act now!,Spam
Out of office reply: Back on the 20th,Out of Office
Can you send more information?,Interested
Let's connect next week - I'll send invite,Meeting Booked
Not interested in this type of service,Not Interested
Your account has been suspended! Verify now!,Spam
Automated response: On parental leave,Out of Office
This could be relevant for our Q2 planning,Interested
Booked 30 minutes on your calendar,Meeting Booked
Please remove me from your mailing list,Not Interested
URGENT: Update your payment information,Spam
Auto-reply: At client site all week,Out of Office
We're evaluating similar solutions,Interested
Looking forward to our demo tomorrow,Meeting Booked
Not something we need at this time,Not Interested
Free trial - No credit card required!,Spam
Currently traveling - back Monday,Out of Office
Let's discuss this further,Interested
Meeting invite accepted for Friday,Meeting Booked
We already have this covered internally,Not Interested
Shocking news about your local area!,Spam
Out of office: Sick leave until further notice,Out of Office
This might help with our digital transformation,Interested
Ready for the call at 3pm today,Meeting Booked
Thanks but our budget is allocated elsewhere,Not Interested
BREAKING: Celebrity scandal exposed!,Spam
Automatic reply: On business trip,Out of Office
Can we set up a brief call?,Interested
Calendar blocked for our meeting Wednesday,Meeting Booked
This isn't a priority for us right now,Not Interested
Work from home opportunity - $5000/week!,Spam
Away from office: Family emergency,Out of Office
Forwarding to our procurement team,Interested
Confirmed: Demo scheduled for next Thursday,Meeting Booked
We've paused all new vendor evaluations,Not Interested
Your package couldn't be delivered!,Spam
Out of office message: Sabbatical until June,Out of Office
This aligns with our strategic goals,Interested
Meeting request sent - please confirm,Meeting Booked
Not the right timing for our organization,Not Interested
Lonely? Find your perfect match today!,Spam
Auto-response: Medical leave,Out of Office
I'd like to learn more about implementation,Interested
All set for tomorrow's presentation,Meeting Booked
We're satisfied with our current provider,Not Interested
IRS refund pending - claim immediately!,Spam
Currently out: Attending training program,Out of Office
This could solve our compliance issues,Interested
Reschedule confirmed for Monday morning,Meeting Booked
Not applicable to our industry sector,Not Interested
Cryptocurrency investment opportunity!,Spam
Away message: Jury duty this week,Out of Office
Please send case studies from similar companies,Interested
Teams meeting link shared for Tuesday,Meeting Booked
We don't work with third-party vendors,Not Interested
Your social media account compromised!,Spam
Out of office: Maternity leave,Out of Office
Looks promising for our upcoming project,Interested
WebEx details confirmed for Thursday,Meeting Booked
Thanks for reaching out but not interested,Not Interested
Male enhancement pills - discreet shipping!,Spam
Auto-reply: Bereavement leave,Out of Office
Can you provide ROI calculations?,Interested
Zoom meeting set up for Friday afternoon,Meeting Booked
This falls outside our core business needs,Not Interested
Final notice: Your warranty expires today!,Spam
Out of office reply: Honeymoon in Europe,Out of Office
Discussing with stakeholders - looks good,Interested
Phone conference scheduled for 11am,Meeting Booked
We have an exclusive contract with competitors,Not Interested
Diet pills that actually work!,Spam
Away: Attending industry conference,Out of Office
Need to understand integration requirements,Interested
Meeting location changed to Conference Room B,Meeting Booked
Our IT department handles this internally,Not Interested
You've been selected for a special offer!,Spam
Automated message: On extended sick leave,Out of Office
What's your implementation timeline?,Interested
Looking forward to the product demo,Meeting Booked
We're downsizing and cutting expenses,Not Interested
Earn $500 daily from home!,Spam
Out of office: Volunteer work abroad,Out of Office
This could streamline our operations,Interested
Meeting reminder: Tomorrow at 2pm,Meeting Booked
Not authorized to make purchasing decisions,Not Interested
ALERT: Suspicious activity on your account!,Spam
Currently unavailable: Military deployment,Out of Office
Let me loop in our technical team,Interested
Conference call dial-in details attached,Meeting Booked
We're committed to our existing platform,Not Interested
Get rich quick with this secret method!,Spam
Away message: Semester abroad program,Out of Office
This might address our scalability concerns,Interested
Appointment confirmed in my calendar,Meeting Booked
Thanks but we're restructuring right now,Not Interested
Local singles want to meet you!,Spam
Out of office: Caring for sick relative,Out of Office
Interested in a pilot program,Interested
